date,3M,AXA,Accenture,Adobe,Allianz,Amazon,American Express,Apple,Audi,BMW,Banco Santander,Budweiser,Burberry,Canon,Cartier,Caterpillar,Chanel,Cisco,Citi,Coca-Cola,Colgate,Corona,DHL,Danone,Dior,Discovery,Disney,Facebook,FedEx,Ferrari,Ford,GE,Gillette,Goldman Sachs,Google,Gucci,H&M,HP,HSBC,Harley-Davidson,Heineken,Hennessy,Hermès,Hewlett Packard Enterprise,Honda,Huawei,Hyundai,IBM,IKEA,Intel,J.P. Morgan,Jack Daniel's,John Deere,Johnnie Walker,Johnson & Johnson,KFC,Kellogg's,Kia,L'Oréal,LEGO,Land Rover,Louis Vuitton,MINI,Mastercard,McDonald's,Mercedes-Benz,Microsoft,Morgan Stanley,NESCAFÉ,Nestlé,Netflix,Nike,Nintendo,Nissan,Oracle,Pampers,Panasonic,PayPal,Pepsi,Philips,Porsche,Prada,SAP,Salesforce.com,Samsung,Shell,Siemens,Sony,Spotify,Sprite,Starbucks,Subaru,Tiffany & Co.,Toyota,UPS,Visa,Volkswagen,Zara,adidas,eBay
2000-01-01,,,,,,4528.0,16122.0,6594.0,,12969.0,,10684.0,,,,,4141.0,20067.0,18809.0,72537.0,4417.0,,,,,,33553.0,,,,36368.0,38127.0,17358.0,,,5149.0,,20572.0,,,2218.0,,,,15244.0,,,53183.0,6031.0,39048.0,,1480.0,,1541.0,,,7357.0,,,,,6887.0,,,27859.0,21104.0,70196.0,,13680.0,,,8015.0,,,,1400.0,3734.0,,6636.0,5481.0,,,6135.0,,5223.0,2786.0,,16409.0,,,1329.0,,,18823.0,,,7834.0,,3791.0,
2000-01-02,,,,,,4388.2,16201.7,6481.0,,13057.9,,10699.4,,,,,4153.4,19781.2,18828.6,72177.8,4432.5,,,,,,33456.8,,,,35740.4,38553.9,17152.0,,,5170.4,,20313.1,,,2222.8,,,,15183.4,,,53139.9,6028.4,38609.7,,1490.3,,1551.8,,,7321.8,,,,,6903.6,,,27602.0,21166.4,69683.2,,13637.0,,,7972.4,,,,1401.0,3709.6,,6593.8,5422.9,,,6152.2,,5338.1,2791.8,,16268.6,,,1371.8,,,18798.5,,,7784.4,,3776.9,
2000-01-03,,,,,,4248.4,16281.4,6368.0,,13146.8,,10714.8,,,,,4165.8,19495.4,18848.2,71818.6,4448.0,,,,,,33360.6,,,,35112.8,38980.8,16946.0,,,5191.8,,20054.2,,,2227.6,,,,15122.8,,,53096.8,6025.8,38171.4,,1500.6,,1562.6,,,7286.6,,,,,6920.2,,,27345.0,21228.8,69170.4,,13594.0,,,7929.8,,,,1402.0,3685.2,,6551.6,5364.8,,,6169.4,,5453.2,2797.6,,16128.2,,,1414.6,,,18774.0,,,7734.8,,3762.8,
2000-01-04,,,,,,4108.6,16361.1,6255.0,,13235.7,,10730.2,,,,,4178.2,19209.6,18867.8,71459.4,4463.5,,,,,,33264.4,,,,34485.2,39407.7,16740.0,,,5213.2,,19795.3,,,2232.4,,,,15062.2,,,53053.7,6023.2,37733.1,,1510.9,,1573.4,,,7251.4,,,,,6936.8,,,27088.0,21291.2,68657.6,,13551.0,,,7887.2,,,,1403.0,3660.8,,6509.4,5306.7,,,6186.6,,5568.3,2803.4,,15987.8,,,1457.4,,,18749.5,,,7685.2,,3748.7,
2000-01-05,,,,,,3968.8,16440.8,6142.0,,13324.6,,10745.6,,,,,4190.6,18923.8,18887.4,71100.2,4479.0,,,,,,33168.2,,,,33857.6,39834.6,16534.0,,,5234.6,,19536.4,,,2237.2,,,,15001.6,,,53010.6,6020.6,37294.8,,1521.2,,1584.2,,,7216.2,,,,,6953.4,,,26831.0,21353.6,68144.8,,13508.0,,,7844.6,,,,1404.0,3636.4,,6467.2,5248.6,,,6203.8,,5683.4,2809.2,,15847.4,,,1500.2,,,18725.0,,,7635.6,,3734.6,
2000-01-06,,,,,,3829.0,16520.5,6029.0,,13413.5,,10761.0,,,,,4203.0,18638.0,18907.0,70741.0,4494.5,,,,,,33072.0,,,,33230.0,40261.5,16328.0,,,5256.0,,19277.5,,,2242.0,,,,14941.0,,,52967.5,6018.0,36856.5,,1531.5,,1595.0,,,7181.0,,,,,6970.0,,,26574.0,21416.0,67632.0,,13465.0,,,7802.0,,,,1405.0,3612.0,,6425.0,5190.5,,,6221.0,,5798.5,2815.0,,15707.0,,,1543.0,,,18700.5,,,7586.0,,3720.5,
2000-01-07,,,,,,3689.2,16600.2,5916.0,,13502.4,,10776.4,,,,,4215.4,18352.2,18926.6,70381.8,4510.0,,,,,,32975.8,,,,32602.4,40688.4,16122.0,,,5277.4,,19018.6,,,2246.8,,,,14880.4,,,52924.4,6015.4,36418.2,,1541.8,,1605.8,,,7145.8,,,,,6986.6,,,26317.0,21478.4,67119.2,,13422.0,,,7759.4,,,,1406.0,3587.6,,6382.8,5132.4,,,6238.2,,5913.6,2820.8,,15566.6,,,1585.8,,,18676.0,,,7536.4,,3706.4,
2000-01-08,,,,,,3549.4,16679.9,5803.0,,13591.3,,10791.8,,,,,4227.8,18066.4,18946.2,70022.6,4525.5,,,,,,32879.6,,,,31974.8,41115.3,15916.0,,,5298.8,,18759.7,,,2251.6,,,,14819.8,,,52881.3,6012.8,35979.9,,1552.1,,1616.6,,,7110.6,,,,,7003.2,,,26060.0,21540.8,66606.4,,13379.0,,,7716.8,,,,1407.0,3563.2,,6340.6,5074.3,,,6255.4,,6028.7,2826.6,,15426.2,,,1628.6,,,18651.5,,,7486.8,,3692.3,
2000-01-09,,,,,,3409.6,16759.6,5690.0,,13680.2,,10807.2,,,,,4240.2,17780.6,18965.8,69663.4,4541.0,,,,,,32783.4,,,,31347.2,41542.2,15710.0,,,5320.2,,18500.8,,,2256.4,,,,14759.2,,,52838.2,6010.2,35541.6,,1562.4,,1627.4,,,7075.4,,,,,7019.8,,,25803.0,21603.2,66093.6,,13336.0,,,7674.2,,,,1408.0,3538.8,,6298.4,5016.2,,,6272.6,,6143.8,2832.4,,15285.8,,,1671.4,,,18627.0,,,7437.2,,3678.2,
2000-01-10,,,,,,3269.8,16839.3,5577.0,,13769.1,,10822.6,,,,,4252.6,17494.8,18985.4,69304.2,4556.5,,,,,,32687.2,,,,30719.6,41969.1,15504.0,,,5341.6,,18241.9,,,2261.2,,,,14698.6,,,52795.1,6007.6,35103.3,,1572.7,,1638.2,,,7040.2,,,,,7036.4,,,25546.0,21665.6,65580.8,,13293.0,,,7631.6,,,,1409.0,3514.4,,6256.2,4958.1,,,6289.8,,6258.9,2838.2,,15145.4,,,1714.2,,,18602.5,,,7387.6,,3664.1,
