name,value,date
Apple,214480.0,2018-01-01
Apple,211447.4,2017-01-10
Apple,208414.8,2017-01-09
Apple,205382.2,2017-01-08
Apple,202349.6,2017-01-07
Apple,199317.0,2017-01-06
Apple,196284.4,2017-01-05
Apple,193251.8,2017-01-04
Apple,190219.2,2017-01-03
Apple,187186.6,2017-01-02
Apple,184154.0,2017-01-01
Apple,183550.5,2016-01-10
Apple,182947.0,2016-01-09
Apple,182343.5,2016-01-08
Apple,181740.0,2016-01-07
Apple,181136.5,2016-01-06
Apple,180533.0,2016-01-05
Apple,179929.5,2016-01-04
Apple,179326.0,2016-01-03
Apple,178722.5,2016-01-02
Apple,178119.0,2016-01-01
Apple,177334.7,2015-01-10
Apple,176550.4,2015-01-09
Apple,175766.1,2015-01-08
Apple,174981.8,2015-01-07
Apple,174197.5,2015-01-06
Apple,173413.2,2015-01-05
Apple,172628.9,2015-01-04
Apple,171844.6,2015-01-03
Apple,171060.3,2015-01-02
Apple,170276.0,2015-01-01
Apple,165134.7,2014-01-10
Apple,159993.4,2014-01-09
Google,155506.0,2018-01-01
Apple,154852.1,2014-01-08
Google,154125.7,2017-01-10
Google,152745.4,2017-01-09
Google,151365.1,2017-01-08
Google,149984.8,2017-01-07
Apple,149710.8,2014-01-07
Google,148604.5,2017-01-06
Google,147224.2,2017-01-05
Google,145843.9,2017-01-04
Apple,144569.5,2014-01-06
Google,144463.6,2017-01-03
Google,143083.3,2017-01-02
Google,141703.0,2017-01-01
Google,140857.9,2016-01-10
Google,140012.8,2016-01-09
Apple,139428.2,2014-01-05
Google,139167.7,2016-01-08
Google,138322.6,2016-01-07
Google,137477.5,2016-01-06
Google,136632.4,2016-01-05
Google,135787.3,2016-01-04
Google,134942.2,2016-01-03
Apple,134286.9,2014-01-04
Google,134097.1,2016-01-02
Google,133252.0,2016-01-01
Google,131958.2,2015-01-10
Google,130664.4,2015-01-09
Google,129370.6,2015-01-08
Apple,129145.6,2014-01-03
Google,128076.8,2015-01-07
Google,126783.0,2015-01-06
Google,125489.2,2015-01-05
Google,124195.4,2015-01-04
Apple,124004.3,2014-01-02
Google,122901.6,2015-01-03
Google,121607.8,2015-01-02
Google,120314.0,2015-01-01
Google,119026.5,2014-01-10
Apple,118863.0,2014-01-01
Google,117739.0,2014-01-09
Apple,116808.3,2013-01-10
Google,116451.5,2014-01-08
Google,115164.0,2014-01-07
Apple,114753.6,2013-01-09
Google,113876.5,2014-01-06
Apple,112698.9,2013-01-08
Google,112589.0,2014-01-05
Google,111301.5,2014-01-04
Apple,110644.2,2013-01-07
Google,110014.0,2014-01-03
Google,108726.5,2014-01-02
Apple,108589.5,2013-01-06
Google,107439.0,2014-01-01
Apple,106534.8,2013-01-05
Google,106024.2,2013-01-10
Google,104609.4,2013-01-09
Apple,104480.1,2013-01-04
Google,103194.6,2013-01-08
Apple,102425.4,2013-01-03
Google,101779.8,2013-01-07
Amazon,100764.0,2018-01-01
Apple,100370.7,2013-01-02
Google,100365.0,2013-01-06
Google,98950.2,2013-01-05
Apple,98316.0,2013-01-01
Google,97535.4,2013-01-04
Amazon,97167.2,2017-01-10
Apple,96141.2,2012-01-10
Google,96120.6,2013-01-03
Google,94705.8,2013-01-02
Apple,93966.4,2012-01-09
Amazon,93570.4,2017-01-09
Google,93291.0,2013-01-01
Microsoft,92715.0,2018-01-01
Apple,91791.6,2012-01-08
Microsoft,91443.4,2017-01-10
Google,90934.5,2012-01-10
Microsoft,90171.8,2017-01-09
Amazon,89973.6,2017-01-08
Apple,89616.8,2012-01-07
Microsoft,88900.2,2017-01-08
Google,88578.0,2012-01-09
Microsoft,87628.6,2017-01-07
Apple,87442.0,2012-01-06
Amazon,86376.8,2017-01-07
Microsoft,86357.0,2017-01-06
Google,86221.5,2012-01-08
Apple,85267.2,2012-01-05
Microsoft,85085.4,2017-01-05
Google,83865.0,2012-01-07
Microsoft,83813.8,2017-01-04
Apple,83092.4,2012-01-04
Amazon,82780.0,2017-01-06
Microsoft,82542.2,2017-01-03
Coca-Cola,81563.0,2014-01-01
Google,81508.5,2012-01-06
Coca-Cola,81328.0,2013-01-10
Microsoft,81270.6,2017-01-02
Coca-Cola,81249.0,2014-01-02
Coca-Cola,81093.0,2013-01-09
Coca-Cola,80935.0,2014-01-03
Apple,80917.6,2012-01-03
Coca-Cola,80858.0,2013-01-08
Coca-Cola,80623.0,2013-01-07
Coca-Cola,80621.0,2014-01-04
Coca-Cola,80388.0,2013-01-06
Coca-Cola,80307.0,2014-01-05
Coca-Cola,80153.0,2013-01-05
Microsoft,79999.0,2017-01-01
Coca-Cola,79993.0,2014-01-06
Coca-Cola,79918.0,2013-01-04
Coca-Cola,79683.0,2013-01-03
Coca-Cola,79679.0,2014-01-07
Coca-Cola,79448.0,2013-01-02
Coca-Cola,79365.0,2014-01-08
Microsoft,79278.6,2016-01-10
Coca-Cola,79213.0,2013-01-01
Amazon,79183.2,2017-01-05
Google,79152.0,2012-01-05
Coca-Cola,79075.6,2012-01-10
Coca-Cola,79051.0,2014-01-09
Coca-Cola,78938.2,2012-01-09
IBM,78808.0,2013-01-01
Coca-Cola,78800.8,2012-01-08
Apple,78742.8,2012-01-02
