date,name,value
2012-6-30,JavaScript,98729
2012-6-30,Python,89650
2012-6-30,Ruby,87701
2012-6-30,Java,64086
2012-6-30,PHP,62896
2012-6-30,C,50649
2012-6-30,C++,46773
2012-6-30,C#,12350
2012-6-30,Shell,11588
2012-6-30,Objective-C,10551
2012-6-30,HTML,9627
2012-6-30,Perl,7820
2012-6-30,Haskell,7553
2012-6-30,Scala,7152
2012-6-30,CoffeeScript,7126
2012-6-30,CSS,4961
2012-6-30,Go,3738
2012-6-30,Erlang,3210
2012-6-30,Clojure,3047
2012-6-30,Emacs Lisp,2861
2012-6-30,TypeScript,2129
2012-6-30,Lua,2038
2012-6-30,Groovy,1836
2012-6-30,OCaml,1510
2012-6-30,Smalltalk,1120
2012-6-30,Vim script,1090
2012-6-30,Common Lisp,1022
2012-6-30,ActionScript,934
2012-6-30,VimL,879
2012-6-30,Raku,844
2012-6-30,Vala,840
2012-6-30,XSLT,786
2012-6-30,D,766
2012-6-30,TeX,734
2012-6-30,Vim Script,731
2012-6-30,Puppet,686
2012-6-30,PLpgSQL,681
2012-6-30,ColdFusion,573
2012-6-30,Makefile,558
2012-6-30,Matlab,509
2012-6-30,Roff,451
2012-6-30,R,446
2012-6-30,JetBrains MPS,443
2012-6-30,Haxe,410
2012-6-30,DCPU-16 ASM,409
2012-6-30,Elixir,384
2012-6-30,nesC,383
2012-6-30,Kotlin,364
2012-6-30,Assembly,353
2012-6-30,LiveScript,327
2012-6-30,Rust,319
2012-6-30,Tcl,318
2012-6-30,Factor,311
2012-6-30,DM,302
2012-6-30,Objective-J,296
2012-6-30,Mirah,272
2012-6-30,Scheme,260
2012-6-30,AGS Script,257
2012-6-30,AutoHotkey,243
2012-6-30,Dart,237
2012-6-30,Perl 6,233
2012-6-30,Racket,229
2012-6-30,Pascal,222
2012-6-30,Web Ontology Language,216
2012-6-30,Verilog,213
2012-6-30,F#,209
2012-6-30,Max,200
2012-6-30,OpenEdge ABL,186
2012-6-30,Fortran,173
2012-6-30,PowerShell,172
2012-6-30,CMake,166
2012-6-30,Arduino,150
2012-6-30,VHDL,142
2012-6-30,Agda,134
2012-6-30,Fancy,131
2012-6-30,FORTRAN,128
2012-6-30,Eagle,128
2012-6-30,Ada,119
2012-6-30,Gherkin,119
2012-6-30,PostScript,115
2012-6-30,SCSS,112
2012-6-30,Mathematica,111
2012-6-30,Visual Basic,109
2012-6-30,NewLisp,108
