date,1C Enterprise,ABAP,AGS Script,ANTLR,ASP,ActionScript,Ada,Adblock Filter List,ApacheConf,Apex,AppleScript,Arduino,Assembly,Astro,AutoHotkey,AutoIt,Awk,Batchfile,Bicep,Bison,BitBake,Blade,Bro,C,C#,C++,CMake,COBOL,CSS,Clojure,CodeQL,CoffeeScript,ColdFusion,Common Lisp,Coq,Crystal,Cucumber,Cuda,Cython,D,DCPU-16 ASM,DIGITAL Command Language,DM,Dart,Dockerfile,Eagle,Elixir,Elm,Emacs Lisp,Erlang,F#,F*,FORTRAN,Factor,Forth,Fortran,FreeMarker,GCC Machine Description,GDScript,GLSL,Gettext Catalog,Gherkin,Go,Groff,Groovy,HCL,HLSL,HTML,Hack,Haml,Handlebars,Haskell,Haxe,Hy,IDL,Idris,Inno Setup,JSON,Java,JavaScript,Jinja,Jsonnet,Julia,Jupyter Notebook,KiCad,Kotlin,LLVM,Lean,Less,Lex,Limbo,Liquid,LiveScript,Logos,Lua,M4,MATLAB,MLIR,Makefile,Markdown,Mathematica,Matlab,Max,NSIS,Nemerle,Nginx,Nim,Nimrod,Nix,Nunjucks,OCaml,Objective-C,Objective-C++,Objective-J,OpenEdge ABL,OpenSCAD,PHP,PLSQL,PLpgSQL,POV-Ray SDL,Pascal,Perl,Perl 6,Perl6,PigLatin,Pony,PostScript,PowerShell,Processing,Prolog,Protocol Buffer,Pug,Puppet,Pure Data,PureScript,Python,QML,R,Racket,Ragel in Ruby Host,Rascal,Red,Rich Text Format,Riot,Roff,Ruby,Rust,SCSS,SQF,SQLPL,SWIG,SaltStack,Sass,Scala,Scheme,ShaderLab,Shell,Smali,Smalltalk,Smarty,Solidity,SourcePawn,Stan,Standard ML,Starlark,SuperCollider,Svelte,Swift,SystemVerilog,TSQL,Tcl,TeX,Thrift,TypeScript,VHDL,Vala,Verilog,Vim Script,Vim Snippet,Vim script,VimL,Visual Basic,Vue,Web Ontology Language,WebAssembly,XML,XSLT,Xtend,YARA,Yacc,wisp
2012-06-30,,,122.0,,,866.0,,,273.0,,,,104.0,,,,,,,,,,,16515.0,5393.0,13109.0,,,7019.0,2306.0,,5203.0,,470.0,,,,,,220.0,141.0,,,118.0,,,,,951.0,2613.0,,,,,,,,,,,,,2222.0,,714.0,,,11170.0,,,,2252.0,253.0,,,,,,17465.0,118009.0,,,,,,,,,,,,,192.0,,792.0,,,,121.0,,,173.0,,,,,,,,,299.0,29909.0,,174.0,,,22882.0,,,,,1571.0,,,,,,305.0,,,,,157.0,,,42212.0,,,,,,,,,,67773.0,,,,,,,,4069.0,,,7051.0,,,,,,,,,,,129.0,,,,,,517.0,,,,,,,2064.0,,,,,,158.0,,,,
2012-09-30,,,,,,671.0,,,291.0,,,,122.0,,,,,,,,,,,16757.0,5233.0,11277.0,,,8503.0,2086.0,,6238.0,,312.0,,,,,,138.0,,,,108.0,,,,,1106.0,2334.0,137.0,,,,,,,,,,,,4936.0,,535.0,,,11049.0,,,,2039.0,280.0,,,,,,19858.0,121938.0,,,,,,,,,,,,,168.0,,790.0,,,,203.0,,,,,,,,,,,,343.0,36059.0,4626.0,178.0,,,22819.0,,,,,1434.0,,,,,,236.0,,,,,213.0,,,42584.0,,,,,,,,,,65990.0,,,,,,,,3438.0,,,7757.0,,,,,,,,,,,139.0,,,,,,238.0,,,,,,,1939.0,,,,,,170.0,,,,
2012-12-30,,,,,,682.0,,,346.0,,,,112.0,,,,,,,,,,,17832.0,5431.0,12540.0,,,7615.0,2137.0,,6576.0,,348.0,,,,,,106.0,,,,165.0,,,,,1315.0,2393.0,200.0,,,,,,,,,,,,7009.0,,483.0,,,12242.0,,,,2146.0,256.0,,,,,,24199.0,142545.0,,,,,121.0,,,,,,,,121.0,,933.0,,,,191.0,,,196.0,,,,,,,,,435.0,41837.0,1246.0,135.0,,,24699.0,,,,,1484.0,,,,,,272.0,,,,,210.0,,,48940.0,,136.0,,,,,,,,77908.0,,,,,,,,3773.0,,,7293.0,,,,,,,,,,,151.0,,,,,,1062.0,,,,,,,2602.0,,,,,,133.0,,,,
2013-03-30,,,,,,769.0,,,369.0,,117.0,,266.0,,,,,,,,,,,26575.0,7503.0,17545.0,,,17279.0,2937.0,,10236.0,,473.0,,,,,,129.0,,,,264.0,,,,,1498.0,3177.0,326.0,,,,,,,,,,,,9305.0,,666.0,,,23378.0,,,,3193.0,410.0,,,,,,36036.0,203515.0,,,129.0,607.0,,,,,,,,,126.0,,1246.0,,,,352.0,,,255.0,,,,,,,,,516.0,64508.0,1051.0,229.0,,,36337.0,,,,,1825.0,,,,,,418.0,,,,,299.0,,,71718.0,,300.0,,,,,,,,103643.0,247.0,,,,,,,4890.0,176.0,,10463.0,,,,,,,,,,,223.0,,,,480.0,,863.0,,,,,,,3300.0,,,,,,193.0,,,,
2013-06-30,,,,,,786.0,,,342.0,,128.0,,894.0,,,,,,,,,,,27119.0,8351.0,19741.0,,,18035.0,3020.0,,10546.0,,1058.0,,,,305.0,,127.0,,,,499.0,,112.0,113.0,,1790.0,2740.0,570.0,,,,,,,,,,,,13565.0,,904.0,,,31165.0,,,,3191.0,675.0,,,,,,44529.0,219265.0,,,150.0,2486.0,,,,,,,,,149.0,,1356.0,,,,354.0,,,445.0,,,,,,,,,597.0,67716.0,496.0,148.0,,,39863.0,,,,,1661.0,,,,,,440.0,,,,,414.0,,,75521.0,,204.0,,,,,,,,102633.0,232.0,,,,,,,5856.0,222.0,,12503.0,,,,,,,,,,,1134.0,,,,201.0,,2724.0,131.0,554.0,,,,,6120.0,,,,,,163.0,,,151.0,196.0
2013-09-30,,,,,,936.0,,,361.0,,,181.0,533.0,,,,,,,,,,,38215.0,10485.0,22458.0,,,32202.0,3927.0,,13058.0,,753.0,,,,,,208.0,,,,445.0,,,410.0,,1840.0,3771.0,290.0,,,,,,,,,,,,24675.0,,1012.0,,,29058.0,,,,3962.0,697.0,,,,,,45985.0,278039.0,,,315.0,1264.0,159.0,,,,,,,,293.0,,1655.0,,,,450.0,,,377.0,,,,1407.0,,,,,858.0,75149.0,541.0,144.0,,,50150.0,,171.0,,134.0,3571.0,,117.0,,,,568.0,101.0,115.0,,,571.0,,,89361.0,,265.0,,,,,,,,103283.0,662.0,,,,,,,8461.0,1091.0,,16694.0,,,,,,,,,,,556.0,,,,482.0,,1906.0,,2348.0,,,,,6871.0,,,,,,263.0,,,,
2013-12-30,,,,,,811.0,,,916.0,,100.0,209.0,580.0,,,,,,,,,,,45553.0,13717.0,32250.0,,,40209.0,4549.0,,18458.0,,764.0,,,,,,323.0,,,,960.0,,107.0,323.0,,2591.0,2950.0,656.0,,,,,,,,,,,,34306.0,129.0,1283.0,,,35742.0,,,,4776.0,662.0,,,,,,63821.0,315487.0,,,468.0,828.0,,122.0,,,,,,,636.0,,2637.0,,,,455.0,,,572.0,,,,2012.0,,,,,914.0,107917.0,598.0,111.0,,,54322.0,,,,144.0,2574.0,,,,,,1005.0,,199.0,,,689.0,,,102029.0,,363.0,,,,,,,,103190.0,726.0,,,,,,,14851.0,395.0,,19239.0,,,160.0,,,,,,,,2697.0,,,,406.0,,5459.0,,874.0,117.0,,,,5677.0,109.0,,,,,262.0,,,,
2014-03-30,,,,,,843.0,,,568.0,139.0,126.0,415.0,1338.0,,,,,,,,,,,51782.0,16403.0,42085.0,122.0,,58902.0,12165.0,,25057.0,101.0,1051.0,,,,,,368.0,,,,1211.0,,213.0,861.0,,2564.0,4111.0,789.0,,116.0,,,,,,,,,,46607.0,136.0,1862.0,,,54859.0,121.0,,,5237.0,1063.0,,,107.0,,,83283.0,390658.0,,,707.0,1191.0,226.0,169.0,,,,,,140.0,649.0,,3140.0,,,,1494.0,,,704.0,,,,274.0,,,,,1141.0,134034.0,708.0,120.0,,104.0,69068.0,,204.0,100.0,150.0,3445.0,,,,,,828.0,160.0,,,,680.0,,,130381.0,,520.0,140.0,,,102.0,,,,122440.0,1248.0,,,,,,,12172.0,489.0,,22788.0,,,,,,,,,,,2350.0,,,,790.0,,5066.0,,663.0,109.0,,,,7403.0,138.0,,,,,320.0,,,,106.0
2014-06-30,,,,,,1406.0,,,613.0,178.0,169.0,255.0,781.0,,106.0,,,,,,,,,51184.0,19885.0,42825.0,119.0,,55899.0,8378.0,,25215.0,,823.0,,,,,,539.0,,,,925.0,,176.0,888.0,154.0,2778.0,3837.0,996.0,,136.0,,,,,,,,,,63824.0,108.0,2258.0,,,57558.0,,,,9207.0,1099.0,,,194.0,,,97999.0,440844.0,,,741.0,1524.0,202.0,316.0,,,,,,117.0,385.0,,2922.0,,,,1338.0,,,735.0,,124.0,296.0,285.0,,,,,1252.0,139245.0,8052.0,107.0,,101.0,69028.0,,186.0,101.0,188.0,2905.0,,,749.0,,,1013.0,180.0,,,,707.0,,,132622.0,,885.0,175.0,,,,,,,130646.0,2737.0,,,,,,,11680.0,374.0,,24176.0,,,140.0,,,,,,,,19754.0,,,,1201.0,,9035.0,,646.0,,,,,6876.0,124.0,,,,345.0,281.0,,,,
2014-09-30,,,,,,1061.0,,,649.0,186.0,138.0,423.0,1298.0,,146.0,,,,,,,,,62185.0,23733.0,47357.0,126.0,,50407.0,9066.0,,24013.0,,1298.0,,,102.0,333.0,,524.0,,,,1908.0,,210.0,1736.0,279.0,3204.0,3631.0,962.0,,137.0,,,,,,,,,,79639.0,104.0,2540.0,,,66664.0,,,,8076.0,1373.0,,,152.0,130.0,,127240.0,479837.0,,,1193.0,2577.0,289.0,360.0,,,,,,,311.0,115.0,3927.0,,,,1985.0,,,775.0,,,,322.0,,,,,1823.0,133152.0,1499.0,,,102.0,78278.0,,196.0,,296.0,3300.0,,,,,,1382.0,238.0,,287.0,,677.0,,195.0,153781.0,129.0,1305.0,203.0,,,,,,,132156.0,4459.0,,,,,,,12740.0,425.0,,37082.0,,,,,,,,,,,32504.0,,,104.0,1446.0,,13603.0,247.0,752.0,,,,,7136.0,162.0,,,,132.0,325.0,,,,
