date,name,value
2012-6-30,JavaScript,118009
2012-6-30,Ruby,67773
2012-6-30,Python,42212
2012-6-30,Objective-C,29909
2012-6-30,PHP,22882
2012-6-30,Java,17465
2012-6-30,C,16515
2012-6-30,C++,13109
2012-6-30,HTML,11170
2012-6-30,Shell,7051
2012-6-30,CSS,7019
2012-6-30,C#,5393
2012-6-30,CoffeeScript,5203
2012-6-30,Scala,4069
2012-6-30,Erlang,2613
2012-6-30,Clojure,2306
2012-6-30,Haskell,2252
2012-6-30,Go,2222
2012-6-30,VimL,2064
2012-6-30,Perl,1571
2012-6-30,Emacs Lisp,951
2012-6-30,ActionScript,866
2012-6-30,Lua,792
2012-6-30,Groovy,714
2012-6-30,TypeScript,517
2012-6-30,Common Lisp,470
2012-6-30,PowerShell,305
2012-6-30,OCaml,299
2012-6-30,ApacheConf,273
2012-6-30,Haxe,253
2012-6-30,D,220
2012-6-30,LiveScript,192
2012-6-30,Objective-J,174
2012-6-30,Matlab,173
2012-6-30,XSLT,158
2012-6-30,Puppet,157
2012-6-30,DCPU-16 ASM,141
2012-6-30,Swift,129
2012-6-30,AGS Script,122
2012-6-30,Makefile,121
2012-6-30,Dart,118
2012-6-30,Assembly,104
2012-9-30,JavaScript,121938
2012-9-30,Ruby,65990
2012-9-30,Python,42584
2012-9-30,Objective-C,36059
2012-9-30,PHP,22819
2012-9-30,Java,19858
2012-9-30,C,16757
2012-9-30,C++,11277
2012-9-30,HTML,11049
2012-9-30,CSS,8503
2012-9-30,Shell,7757
2012-9-30,CoffeeScript,6238
2012-9-30,C#,5233
2012-9-30,Go,4936
2012-9-30,Objective-C++,4626
2012-9-30,Scala,3438
2012-9-30,Erlang,2334
2012-9-30,Clojure,2086
2012-9-30,Haskell,2039
2012-9-30,VimL,1939
2012-9-30,Perl,1434
2012-9-30,Emacs Lisp,1106
2012-9-30,Lua,790
2012-9-30,ActionScript,671
2012-9-30,Groovy,535
2012-9-30,OCaml,343
2012-9-30,Common Lisp,312
2012-9-30,ApacheConf,291
2012-9-30,Haxe,280
2012-9-30,TypeScript,238
2012-9-30,PowerShell,236
2012-9-30,Puppet,213
2012-9-30,Makefile,203
2012-9-30,Objective-J,178
2012-9-30,XSLT,170
2012-9-30,LiveScript,168
2012-9-30,Swift,139
2012-9-30,D,138
2012-9-30,F#,137
2012-9-30,Assembly,122
2012-9-30,Dart,108
2012-12-30,JavaScript,142545
2012-12-30,Ruby,77908
2012-12-30,Python,48940
2012-12-30,Objective-C,41837
2012-12-30,PHP,24699
2012-12-30,Java,24199
2012-12-30,C,17832
2012-12-30,C++,12540
2012-12-30,HTML,12242
2012-12-30,CSS,7615
2012-12-30,Shell,7293
2012-12-30,Go,7009
2012-12-30,CoffeeScript,6576
2012-12-30,C#,5431
2012-12-30,Scala,3773
2012-12-30,VimL,2602
2012-12-30,Erlang,2393
2012-12-30,Haskell,2146
2012-12-30,Clojure,2137
2012-12-30,Perl,1484
2012-12-30,Emacs Lisp,1315
2012-12-30,Objective-C++,1246
2012-12-30,TypeScript,1062
2012-12-30,Lua,933
2012-12-30,ActionScript,682
2012-12-30,Groovy,483
2012-12-30,OCaml,435
2012-12-30,Common Lisp,348
2012-12-30,ApacheConf,346
2012-12-30,PowerShell,272
2012-12-30,Haxe,256
2012-12-30,Puppet,210
2012-12-30,F#,200
2012-12-30,Matlab,196
2012-12-30,Makefile,191
2012-12-30,Dart,165
2012-12-30,Swift,151
2012-12-30,R,136
2012-12-30,Objective-J,135
2012-12-30,XSLT,133
2012-12-30,KiCad,121
2012-12-30,LiveScript,121
2012-12-30,Assembly,112
2012-12-30,D,106
2013-3-30,JavaScript,203515
2013-3-30,Ruby,103643
2013-3-30,Python,71718
2013-3-30,Objective-C,64508
2013-3-30,PHP,36337
2013-3-30,Java,36036
2013-3-30,C,26575
2013-3-30,HTML,23378
2013-3-30,C++,17545
2013-3-30,CSS,17279
2013-3-30,Shell,10463
2013-3-30,CoffeeScript,10236
2013-3-30,Go,9305
2013-3-30,C#,7503
2013-3-30,Scala,4890
2013-3-30,VimL,3300
2013-3-30,Haskell,3193
2013-3-30,Erlang,3177
2013-3-30,Clojure,2937
2013-3-30,Perl,1825
2013-3-30,Emacs Lisp,1498
2013-3-30,Lua,1246
2013-3-30,Objective-C++,1051
