date,name,group,value
2013-01-01,MARIEHAMN,Åland Islands,11370
2012-01-01,MARIEHAMN,Åland Islands,11304.5
2011-01-01,MARIEHAMN,Åland Islands,11226.5
2010-01-01,MARIEHAMN,Åland Islands,11156.5
2009-01-01,MARIEHAMN,Åland Islands,11064
2008-01-01,MARIEHAMN,Åland Islands,10954
2007-01-01,MARIEHAMN,Åland Islands,10863
2000-01-01,MARIEHAMN,Åland Islands,10488
2011-01-01,Durrës,Albania,113249
2011-01-01,TIRANA,Albania,418495
2003-01-01,TIRANA,Albania,392863
1998-01-01,Annaba,Algeria,352523
1998-01-01,Batna,Algeria,246800
1998-01-01,Béchar,Algeria,134523
1998-01-01,Bejaïa,Algeria,144405
1998-01-01,Beskra,Algeria,177060
1998-01-01,Bordj Bou Arreridj,Algeria,129004
1998-01-01,Bordj el Kiffan,Algeria,103690
1998-01-01,Ech Cheliff (El Asnam),Algeria,174314
1998-01-01,El Boulaïda (Blida),Algeria,229788
1998-01-01,ALGIERS (EL DJAZAIR),Algeria,1569897
1998-01-01,El Djelfa,Algeria,158679
1998-01-01,El Eulma,Algeria,104758
1998-01-01,El Wad,Algeria,105151
1998-01-01,Ghardaïa,Algeria,127959
1998-01-01,Ghilizane,Algeria,104644
1998-01-01,Guelma,Algeria,108682
1998-01-01,Jijel,Algeria,106306
1998-01-01,Lemdiyya (Medea),Algeria,128427
1998-01-01,Mestghanem (Mostaganem),Algeria,125911
1998-01-01,M'Sila,Algeria,102151
1998-01-01,Qacentina (Constantine),Algeria,465021
1998-01-01,Saïda,Algeria,113533
1998-01-01,Sidi-bel-Abbès,Algeria,183931
1998-01-01,Skikda,Algeria,153531
1998-01-01,Souq Ahras,Algeria,114512
1998-01-01,Stif (Sétif),Algeria,214842
1998-01-01,Tbessa,Algeria,154335
1998-01-01,Tihert,Algeria,148850
1998-01-01,Tilimsen (Tlemcen),Algeria,156258
1998-01-01,Touggourt,Algeria,114183
1998-01-01,Wahran (Oran),Algeria,705335
1998-01-01,Wargla,Algeria,139381
2010-01-01,PAGO PAGO,American Samoa,3656
2000-01-01,PAGO PAGO,American Samoa,4278
2011-01-01,ANDORRA LA VELLA,Andorra,22205
2010-01-01,ANDORRA LA VELLA,Andorra,23505
2009-01-01,ANDORRA LA VELLA,Andorra,24779
2008-01-01,ANDORRA LA VELLA,Andorra,24632
2007-01-01,ANDORRA LA VELLA,Andorra,24574
2006-01-01,ANDORRA LA VELLA,Andorra,24211
2005-01-01,ANDORRA LA VELLA,Andorra,23587
2003-01-01,ANDORRA LA VELLA,Andorra,21245
2001-01-01,THE VALLEY,Anguilla,4904
1991-01-01,ST. JOHN,Antigua and Barbuda,22342
2013-01-01,Bahía Blanca-Cerri,Argentina,317325.704982449
2013-01-01,BUENOS AIRES,Argentina,13339001.6015536
2013-01-01,Catamarca,Argentina,215795.389398648
2013-01-01,Comodoro Rivadavia-Rada Tilly,Argentina,146557.365847925
2013-01-01,Concordia,Argentina,157705.748550135
2013-01-01,Córdoba,Argentina,1442000.64659388
2013-01-01,Corrientes,Argentina,373981.279268183
2013-01-01,Formosa,Argentina,253508.104025216
2013-01-01,La Plata,Argentina,764468.872784661
2013-01-01,La Rioja,Argentina,193763.58807037
2013-01-01,San Luis - El Chorrillo,Argentina,216609.517202332
2013-01-01,Mar del Plata-Batán,Argentina,633905.593145199
2013-01-01,Mendoza,Argentina,923203.297204453
2013-01-01,Neuquén-Plottier,Argentina,277609.714022646
2013-01-01,Paraná,Argentina,286659.493034397
2013-01-01,Posadas,Argentina,312162.868950168
2013-01-01,Resistencia,Argentina,406284.472613334
2013-01-01,Río Cuarto,Argentina,168400.500188638
2013-01-01,Rosario,Argentina,1284951.22445876
2013-01-01,Salta,Argentina,562807.15066998
2013-01-01,San Juan,Argentina,486313.228956941
2013-01-01,San Salvador de Jujuy-Palpalá,Argentina,322872.909734593
2013-01-01,Santa Fé,Argentina,521233.02888211
2013-01-01,Santa Rosa-Toay,Argentina,127398.589387156
2013-01-01,Santiago del Estero-La Banda,Argentina,387320.455373139
2013-01-01,Tucumán-Tafí Viejo,Argentina,836411.619309512
2013-01-01,Ushuaia-Río Grande,Argentina,130617.023030331
2012-01-01,Bahía Blanca-Cerri,Argentina,314948
2012-01-01,BUENOS AIRES,Argentina,13242375
2012-01-01,Catamarca,Argentina,212174
2012-01-01,Comodoro Rivadavia-Rada Tilly,Argentina,145475
2012-01-01,Concordia,Argentina,155905
2012-01-01,Córdoba,Argentina,1429922
2012-01-01,Corrientes,Argentina,368778
2012-01-01,Formosa,Argentina,249062
2012-01-01,La Plata,Argentina,757980
2012-01-01,La Rioja,Argentina,189845
2012-01-01,San Luis - El Chorrillo,Argentina,212154
2012-01-01,Mar del Plata-Batán,Argentina,628672
2012-01-01,Mendoza,Argentina,916220
2012-01-01,Neuquén-Plottier,Argentina,273503
2012-01-01,Paraná,Argentina,283328
2012-01-01,Posadas,Argentina,307619
2012-01-01,Rawson-Trelew-Playa Unión,Argentina,132097
2012-01-01,Resistencia,Argentina,400869
2012-01-01,Río Cuarto,Argentina,167057
