date,name,value
1971-01-01,Australia,0.89
1971-02-01,Australia,0.89
1971-03-01,Australia,0.89
1971-04-01,Australia,0.89
1971-05-01,Australia,0.89
1971-06-01,Australia,0.89
1971-07-01,Australia,0.89
1971-08-01,Australia,0.88
1971-09-01,Australia,0.87
1971-10-01,Australia,0.86
1971-11-01,Australia,0.86
1971-12-01,Australia,0.85
1972-01-01,Australia,0.84
1972-02-01,Australia,0.84
1972-03-01,Australia,0.84
1972-04-01,Australia,0.84
1972-05-01,Australia,0.84
1972-06-01,Australia,0.84
1972-07-01,Australia,0.84
1972-08-01,Australia,0.84
1972-09-01,Australia,0.84
1972-10-01,Australia,0.84
1972-11-01,Australia,0.84
1972-12-01,Australia,0.83
1973-01-01,Australia,0.79
1973-02-01,Australia,0.74
1973-03-01,Australia,0.71
1973-04-01,Australia,0.71
1973-05-01,Australia,0.71
1973-06-01,Australia,0.71
1973-07-01,Australia,0.71
1973-08-01,Australia,0.71
1973-09-01,Australia,0.68
1973-10-01,Australia,0.67
1973-11-01,Australia,0.67
1973-12-01,Australia,0.67
1974-01-01,Australia,0.67
1974-02-01,Australia,0.67
1974-03-01,Australia,0.67
1974-04-01,Australia,0.67
1974-05-01,Australia,0.67
1974-06-01,Australia,0.67
1974-07-01,Australia,0.68
1974-08-01,Australia,0.67
1974-09-01,Australia,0.69
1974-10-01,Australia,0.76
1974-11-01,Australia,0.76
1974-12-01,Australia,0.76
1975-01-01,Australia,0.75
1975-02-01,Australia,0.74
1975-03-01,Australia,0.74
1975-04-01,Australia,0.75
1975-05-01,Australia,0.75
1975-06-01,Australia,0.75
1975-07-01,Australia,0.76
1975-08-01,Australia,0.78
1975-09-01,Australia,0.79
1975-10-01,Australia,0.79
1975-11-01,Australia,0.79
1975-12-01,Australia,0.8
1976-01-01,Australia,0.8
1976-02-01,Australia,0.79
1976-03-01,Australia,0.8
1976-04-01,Australia,0.81
1976-05-01,Australia,0.81
1976-06-01,Australia,0.81
1976-07-01,Australia,0.81
1976-08-01,Australia,0.81
1976-09-01,Australia,0.8
1976-10-01,Australia,0.81
1976-11-01,Australia,0.83
1976-12-01,Australia,0.95
1977-01-01,Australia,0.92
1977-02-01,Australia,0.92
1977-03-01,Australia,0.91
1977-04-01,Australia,0.9
1977-05-01,Australia,0.91
1977-06-01,Australia,0.9
1977-07-01,Australia,0.89
1977-08-01,Australia,0.91
1977-09-01,Australia,0.91
1977-10-01,Australia,0.89
1977-11-01,Australia,0.89
1977-12-01,Australia,0.88
1978-01-01,Australia,0.88
1978-02-01,Australia,0.88
1978-03-01,Australia,0.88
1978-04-01,Australia,0.88
1978-05-01,Australia,0.89
1978-06-01,Australia,0.88
1978-07-01,Australia,0.87
1978-08-01,Australia,0.87
1978-09-01,Australia,0.87
1978-10-01,Australia,0.86
1978-11-01,Australia,0.87
1978-12-01,Australia,0.88
1979-01-01,Australia,0.88
1979-02-01,Australia,0.88
1979-03-01,Australia,0.89
1979-04-01,Australia,0.9
1979-05-01,Australia,0.9
1979-06-01,Australia,0.9
1979-07-01,Australia,0.89
1979-08-01,Australia,0.89
1979-09-01,Australia,0.89
1979-10-01,Australia,0.9
1979-11-01,Australia,0.91
1979-12-01,Australia,0.91
1980-01-01,Australia,0.9
1980-02-01,Australia,0.91
1980-03-01,Australia,0.92
1980-04-01,Australia,0.92
1980-05-01,Australia,0.88
1980-06-01,Australia,0.87
1980-07-01,Australia,0.86
1980-08-01,Australia,0.86
1980-09-01,Australia,0.85
1980-10-01,Australia,0.85
1980-11-01,Australia,0.86
1980-12-01,Australia,0.86
1981-01-01,Australia,0.85
1981-02-01,Australia,0.86
1981-03-01,Australia,0.86
1981-04-01,Australia,0.87
1981-05-01,Australia,0.88
1981-06-01,Australia,0.88
1981-07-01,Australia,0.88
1981-08-01,Australia,0.88
1981-09-01,Australia,0.87
1981-10-01,Australia,0.87
1981-11-01,Australia,0.87
1981-12-01,Australia,0.88
1982-01-01,Australia,0.9
1982-02-01,Australia,0.92
1982-03-01,Australia,0.94
1982-04-01,Australia,0.95
1982-05-01,Australia,0.94
1982-06-01,Australia,0.97
1982-07-01,Australia,0.99
1982-08-01,Australia,1.02
1982-09-01,Australia,1.04
1982-10-01,Australia,1.06
1982-11-01,Australia,1.06
1982-12-01,Australia,1.03
1983-01-01,Australia,1.02
1983-02-01,Australia,1.03
1983-03-01,Australia,1.13
1983-04-01,Australia,1.15
1983-05-01,Australia,1.14
1983-06-01,Australia,1.14
1983-07-01,Australia,1.14
1983-08-01,Australia,1.14
1983-09-01,Australia,1.13
1983-10-01,Australia,1.09
1983-11-01,Australia,1.09
1983-12-01,Australia,1.11
1984-01-01,Australia,1.1
1984-02-01,Australia,1.07
1984-03-01,Australia,1.05
1984-04-01,Australia,1.08
1984-05-01,Australia,1.1
1984-06-01,Australia,1.13
1984-07-01,Australia,1.2
1984-08-01,Australia,1.18
1984-09-01,Australia,1.2
1984-10-01,Australia,1.2
1984-11-01,Australia,1.16
1984-12-01,Australia,1.19
1985-01-01,Australia,1.23
1985-02-01,Australia,1.36
1985-03-01,Australia,1.43
1985-04-01,Australia,1.52
1985-05-01,Australia,1.48
1985-06-01,Australia,1.5
1985-07-01,Australia,1.43
1985-08-01,Australia,1.41
1985-09-01,Australia,1.45
1985-10-01,Australia,1.42
1985-11-01,Australia,1.48
1985-12-01,Australia,1.47
1986-01-01,Australia,1.43
1986-02-01,Australia,1.43
1986-03-01,Australia,1.41
1986-04-01,Australia,1.38
1986-05-01,Australia,1.38
1986-06-01,Australia,1.45
1986-07-01,Australia,1.59
1986-08-01,Australia,1.63
1986-09-01,Australia,1.61
1986-10-01,Australia,1.57
1986-11-01,Australia,1.55
1986-12-01,Australia,1.52
1987-01-01,Australia,1.51
1987-02-01,Australia,1.5
1987-03-01,Australia,1.46
1987-04-01,Australia,1.41
1987-05-01,Australia,1.4
1987-06-01,Australia,1.39
1987-07-01,Australia,1.41
1987-08-01,Australia,1.41
1987-09-01,Australia,1.38
1987-10-01,Australia,1.41
1987-11-01,Australia,1.46
1987-12-01,Australia,1.41
1988-01-01,Australia,1.41
1988-02-01,Australia,1.4
1988-03-01,Australia,1.36
1988-04-01,Australia,1.34
1988-05-01,Australia,1.29
1988-06-01,Australia,1.24
1988-07-01,Australia,1.25
1988-08-01,Australia,1.24
1988-09-01,Australia,1.26
1988-10-01,Australia,1.24
1988-11-01,Australia,1.18
1988-12-01,Australia,1.17
1989-01-01,Australia,1.15
1989-02-01,Australia,1.17
1989-03-01,Australia,1.22
1989-04-01,Australia,1.24
1989-05-01,Australia,1.29
1989-06-01,Australia,1.32
1989-07-01,Australia,1.32
1989-08-01,Australia,1.31
1989-09-01,Australia,1.29
1989-10-01,Australia,1.29
1989-11-01,Australia,1.28
1989-12-01,Australia,1.27
1990-01-01,Australia,1.28
1990-02-01,Australia,1.32
1990-03-01,Australia,1.32
1990-04-01,Australia,1.31
1990-05-01,Australia,1.31
1990-06-01,Australia,1.28
1990-07-01,Australia,1.26
1990-08-01,Australia,1.24
1990-09-01,Australia,1.21
1990-10-01,Australia,1.25
1990-11-01,Australia,1.29
1990-12-01,Australia,1.3
1991-01-01,Australia,1.28
1991-02-01,Australia,1.28
1991-03-01,Australia,1.3
1991-04-01,Australia,1.28
1991-05-01,Australia,1.29
1991-06-01,Australia,1.32
1991-07-01,Australia,1.3
1991-08-01,Australia,1.28
1991-09-01,Australia,1.26
1991-10-01,Australia,1.26
1991-11-01,Australia,1.27
1991-12-01,Australia,1.3
1992-01-01,Australia,1.34
1992-02-01,Australia,1.33
1992-03-01,Australia,1.32
1992-04-01,Australia,1.31
1992-05-01,Australia,1.32
1992-06-01,Australia,1.32
1992-07-01,Australia,1.34
1992-08-01,Australia,1.38
1992-09-01,Australia,1.38
1992-10-01,Australia,1.4
1992-11-01,Australia,1.45
1992-12-01,Australia,1.45
1993-01-01,Australia,1.49
1993-02-01,Australia,1.46
1993-03-01,Australia,1.41
1993-04-01,Australia,1.41
1993-05-01,Australia,1.43
1993-06-01,Australia,1.48
1993-07-01,Australia,1.48
1993-08-01,Australia,1.48
1993-09-01,Australia,1.53
1993-10-01,Australia,1.51
1993-11-01,Australia,1.5
1993-12-01,Australia,1.48
1994-01-01,Australia,1.44
1994-02-01,Australia,1.4
1994-03-01,Australia,1.41
1994-04-01,Australia,1.4
1994-05-01,Australia,1.38
1994-06-01,Australia,1.36
1994-07-01,Australia,1.36
1994-08-01,Australia,1.35
1994-09-01,Australia,1.35
1994-10-01,Australia,1.36
1994-11-01,Australia,1.32
1994-12-01,Australia,1.29
1995-01-01,Australia,1.31
1995-02-01,Australia,1.34
1995-03-01,Australia,1.36
1995-04-01,Australia,1.36
1995-05-01,Australia,1.38
1995-06-01,Australia,1.39
1995-07-01,Australia,1.37
1995-08-01,Australia,1.35
1995-09-01,Australia,1.33
1995-10-01,Australia,1.32
1995-11-01,Australia,1.34
1995-12-01,Australia,1.35
1996-01-01,Australia,1.35
1996-02-01,Australia,1.32
1996-03-01,Australia,1.3
1996-04-01,Australia,1.27
1996-05-01,Australia,1.25
1996-06-01,Australia,1.26
1996-07-01,Australia,1.27
1996-08-01,Australia,1.28
1996-09-01,Australia,1.26
1996-10-01,Australia,1.26
1996-11-01,Australia,1.26
1996-12-01,Australia,1.26
1997-01-01,Australia,1.29
1997-02-01,Australia,1.3
1997-03-01,Australia,1.27
1997-04-01,Australia,1.28
1997-05-01,Australia,1.29
1997-06-01,Australia,1.33
1997-07-01,Australia,1.35
1997-08-01,Australia,1.35
1997-09-01,Australia,1.38
1997-10-01,Australia,1.39
1997-11-01,Australia,1.44
1997-12-01,Australia,1.51
1998-01-01,Australia,1.52
