date,name,value
2012-06-30,JavaScript,105379
2012-06-30,Python,99936
2012-06-30,Ruby,92073
2012-06-30,Java,70815
2012-06-30,PHP,69346
2012-06-30,C,58582
2012-06-30,C++,54256
2012-06-30,C#,13012
2012-06-30,Shell,12882
2012-06-30,Objective-C,11148
2012-06-30,Perl,9761
2012-06-30,Haskell,9335
2012-06-30,HTML,9088
2012-06-30,Scala,7531
2012-06-30,CoffeeScript,7516
2012-06-30,CSS,5905
2012-06-30,Go,3835
2012-06-30,Erlang,3445
2012-06-30,Clojure,3227
2012-06-30,VimL,3102
2012-06-30,Emacs Lisp,2909
2012-06-30,XSLT,2555
2012-06-30,OCaml,2224
2012-06-30,Lua,1881
2012-06-30,Groovy,1395
2012-06-30,Common Lisp,1284
2012-06-30,Perl6,1240
2012-06-30,Smalltalk,1109
2012-06-30,TypeScript,1008
2012-06-30,ActionScript,925
2012-06-30,R,855
2012-06-30,Vala,822
2012-06-30,D,821
2012-06-30,Matlab,818
2012-06-30,Assembly,771
2012-06-30,TeX,737
2012-06-30,Puppet,723
2012-06-30,ColdFusion,522
2012-06-30,Makefile,412
2012-06-30,Haxe,411
2012-06-30,PLpgSQL,400
2012-06-30,DCPU-16 ASM,399
2012-06-30,FORTRAN,391
2012-06-30,nesC,371
2012-06-30,LiveScript,327
2012-06-30,Tcl,313
2012-06-30,Factor,310
2012-06-30,Scheme,300
2012-06-30,DM,300
2012-06-30,Objective-J,297
2012-06-30,Pascal,265
2012-06-30,Rust,264
2012-06-30,AGS Script,257
2012-06-30,Mirah,242
2012-06-30,Arduino,240
2012-06-30,Dart,232
2012-06-30,Web Ontology Language,223
2012-06-30,Jupyter Notebook,219
2012-06-30,OpenEdge ABL,213
2012-06-30,AutoHotkey,209
2012-06-30,Verilog,208
2012-06-30,Racket,204
2012-06-30,F#,203
2012-06-30,Max,195
2012-06-30,KiCad,194
2012-06-30,CMake,178
2012-06-30,PowerShell,168
2012-06-30,Groff,168
2012-06-30,Eagle,137
2012-06-30,Agda,134
2012-06-30,Fancy,130
2012-06-30,Visual Basic,129
2012-06-30,Ada,120
2012-06-30,Cucumber,119
2012-06-30,BitBake,109
2012-06-30,VHDL,100
2012-09-30,JavaScript,121271
2012-09-30,Python,119659
2012-09-30,Ruby,97509
2012-09-30,PHP,81849
2012-09-30,Java,78747
2012-09-30,C,68478
2012-09-30,C++,60314
2012-09-30,Shell,16321
2012-09-30,C#,16138
2012-09-30,Objective-C,12020
2012-09-30,HTML,11583
2012-09-30,Haskell,10047
2012-09-30,Perl,8535
2012-09-30,CSS,7648
2012-09-30,Scala,7402
2012-09-30,Go,6963
2012-09-30,CoffeeScript,6689
2012-09-30,Erlang,3791
2012-09-30,VimL,3702
2012-09-30,Clojure,3470
2012-09-30,Emacs Lisp,3424
2012-09-30,Lua,3013
2012-09-30,OCaml,2718
2012-09-30,Groovy,2177
2012-09-30,XSLT,1978
2012-09-30,Factor,1812
2012-09-30,Perl6,1389
2012-09-30,Common Lisp,1227
2012-09-30,Puppet,1134
2012-09-30,BitBake,1103
2012-09-30,D,1055
2012-09-30,Makefile,950
2012-09-30,TypeScript,932
2012-09-30,ActionScript,844
2012-09-30,Vala,798
2012-09-30,Matlab,790
2012-09-30,TeX,782
2012-09-30,Scheme,760
2012-09-30,nesC,744
2012-09-30,Smalltalk,734
2012-09-30,R,701
2012-09-30,PLpgSQL,602
2012-09-30,FORTRAN,545
2012-09-30,Objective-C++,539
2012-09-30,Haxe,523
2012-09-30,Pony,508
2012-09-30,Assembly,497
2012-09-30,F#,455
2012-09-30,Objective-J,429
2012-09-30,Arduino,424
2012-09-30,ColdFusion,385
2012-09-30,Jupyter Notebook,304
2012-09-30,Racket,266
2012-09-30,BlitzBasic,260
2012-09-30,Web Ontology Language,257
2012-09-30,Rust,246
2012-09-30,Verilog,245
2012-09-30,KiCad,227
2012-09-30,DCPU-16 ASM,219
2012-09-30,AGS Script,210
2012-09-30,PowerShell,205
2012-09-30,Tcl,196
2012-09-30,Pascal,194
2012-09-30,Monkey,183
2012-09-30,Agda,167
2012-09-30,Dart,167
2012-09-30,CMake,163
2012-09-30,VHDL,161
2012-09-30,AutoHotkey,160
2012-09-30,Prolog,159
2012-09-30,Eagle,135
2012-09-30,Standard ML,133
2012-09-30,LiveScript,120
2012-09-30,SuperCollider,119
2012-09-30,Visual Basic,119
2012-09-30,Modelica,116
2012-09-30,Kotlin,113
2012-09-30,Groff,113
2012-09-30,Cucumber,109
2012-12-30,JavaScript,145410
2012-12-30,Python,136276
2012-12-30,Ruby,110016
2012-12-30,Java,98881
2012-12-30,PHP,97966
2012-12-30,C,74521
2012-12-30,C++,66748
2012-12-30,Shell,19426
2012-12-30,C#,16804
2012-12-30,Objective-C,15135
2012-12-30,HTML,13883
2012-12-30,Haskell,13102
2012-12-30,CSS,11490
2012-12-30,Perl,9039
2012-12-30,Go,8931
2012-12-30,Scala,8573
2012-12-30,CoffeeScript,8115
2012-12-30,Erlang,4715
2012-12-30,VimL,3671
2012-12-30,Lua,3644
2012-12-30,Clojure,3334
2012-12-30,Emacs Lisp,3145
2012-12-30,OCaml,2998
2012-12-30,Groovy,2271
2012-12-30,Common Lisp,1969
2012-12-30,Puppet,1406
2012-12-30,TypeScript,1377
2012-12-30,Matlab,1376
2012-12-30,Makefile,1215
2012-12-30,D,1179
2012-12-30,BitBake,993
2012-12-30,R,965
2012-12-30,TeX,942
2012-12-30,XSLT,893
2012-12-30,ActionScript,830
2012-12-30,nesC,819
2012-12-30,F#,767
2012-12-30,PLpgSQL,679
2012-12-30,Perl6,666
2012-12-30,Scheme,646
2012-12-30,Jupyter Notebook,627
2012-12-30,Haxe,589
2012-12-30,Assembly,570
2012-12-30,Dart,564
2012-12-30,Vala,545
2012-12-30,FORTRAN,531
2012-12-30,Standard ML,497
2012-12-30,Rust,475
2012-12-30,Web Ontology Language,472
2012-12-30,Julia,431
2012-12-30,Smalltalk,422
2012-12-30,Factor,402
2012-12-30,Racket,318
2012-12-30,Logtalk,306
2012-12-30,PowerShell,290
2012-12-30,Agda,286
2012-12-30,ColdFusion,285
2012-12-30,Delphi,267
2012-12-30,Pascal,265
2012-12-30,Pony,263
2012-12-30,Objective-J,258
2012-12-30,Arduino,241
2012-12-30,Objective-C++,224
2012-12-30,BlitzBasic,218
2012-12-30,Tcl,198
2012-12-30,CMake,193
2012-12-30,Game Maker Language,172
2012-12-30,Eagle,169
2012-12-30,Elixir,144
2012-12-30,Prolog,140
2012-12-30,Verilog,136
2012-12-30,Monkey,132
2012-12-30,Apex,132
2012-12-30,XML,131
2012-12-30,Groff,125
2012-12-30,OpenEdge ABL,111
2012-12-30,AutoHotkey,109
2012-12-30,QML,107
2012-12-30,Kotlin,104
2012-12-30,LiveScript,104
2012-12-30,Visual Basic,103
2013-03-30,JavaScript,202177
2013-03-30,Python,178522
2013-03-30,Ruby,148465
2013-03-30,Java,140397
2013-03-30,PHP,132038
2013-03-30,C,95838
2013-03-30,C++,85684
2013-03-30,C#,25371
2013-03-30,Shell,24759
2013-03-30,Objective-C,19954
2013-03-30,CSS,19431
2013-03-30,HTML,18403
2013-03-30,Haskell,15919
2013-03-30,Scala,11795
2013-03-30,Perl,11748
2013-03-30,Go,11573
2013-03-30,CoffeeScript,11480
2013-03-30,VimL,5155
2013-03-30,Erlang,4785
2013-03-30,Lua,4713
2013-03-30,Emacs Lisp,4537
2013-03-30,OCaml,3947
2013-03-30,Clojure,3541
2013-03-30,Groovy,3481
2013-03-30,Dart,2267
2013-03-30,Common Lisp,2147
2013-03-30,XSLT,2103
2013-03-30,Matlab,1892
2013-03-30,TeX,1672
2013-03-30,TypeScript,1579
2013-03-30,R,1519
2013-03-30,ActionScript,1443
2013-03-30,Puppet,1214
2013-03-30,Makefile,1186
2013-03-30,Rust,1064
2013-03-30,Factor,991
2013-03-30,D,962
2013-03-30,Jupyter Notebook,933
2013-03-30,Vala,908
2013-03-30,Objective-J,891
2013-03-30,Haxe,861
2013-03-30,Assembly,856
2013-03-30,F#,838
2013-03-30,Perl6,837
2013-03-30,Julia,810
2013-03-30,Scheme,796
2013-03-30,Web Ontology Language,791
2013-03-30,PLpgSQL,757
2013-03-30,nesC,734
2013-03-30,BitBake,711
2013-03-30,PowerShell,647
2013-03-30,Smalltalk,589
2013-03-30,Pascal,570
2013-03-30,FORTRAN,569
2013-03-30,Standard ML,551
2013-03-30,Groff,424
2013-03-30,Arduino,404
2013-03-30,Visual Basic,401
2013-03-30,CMake,396
2013-03-30,Tcl,375
2013-03-30,Kotlin,353
2013-03-30,BlitzBasic,331
2013-03-30,Logtalk,319
2013-03-30,Objective-C++,275
2013-03-30,Game Maker Language,275
2013-03-30,ColdFusion,254
2013-03-30,LiveScript,250
2013-03-30,QML,236
2013-03-30,Swift,231
2013-03-30,Eagle,227
2013-03-30,VHDL,216
2013-03-30,Ada,212
2013-03-30,AGS Script,202
2013-03-30,Mercury,201
2013-03-30,Racket,193
2013-03-30,Prolog,191
2013-03-30,SQF,188
2013-03-30,Logos,188
2013-03-30,SourcePawn,177
2013-03-30,AutoIt,163
2013-03-30,Pony,161
2013-03-30,AppleScript,159
2013-03-30,Monkey,155
2013-03-30,Verilog,154
2013-03-30,Cucumber,146
2013-03-30,KiCad,141
2013-03-30,Delphi,138
2013-03-30,AutoHotkey,128
2013-03-30,Processing,125
2013-03-30,Agda,122
2013-03-30,UnrealScript,117
2013-03-30,ApacheConf,116
2013-03-30,PostScript,114
2013-03-30,Ceylon,113
2013-03-30,DM,113
2013-03-30,Coq,113
2013-03-30,Cuda,105
2013-06-30,JavaScript,228966
2013-06-30,Python,199214
2013-06-30,Ruby,153835
2013-06-30,Java,153242
2013-06-30,PHP,143891
2013-06-30,C,106863
2013-06-30,C++,94914
2013-06-30,C#,29846
2013-06-30,CSS,27859
2013-06-30,Shell,26832
2013-06-30,HTML,25565
2013-06-30,Objective-C,23100
2013-06-30,Go,17374
2013-06-30,Haskell,15008
2013-06-30,Perl,14787
2013-06-30,CoffeeScript,13755
2013-06-30,Scala,13227
2013-06-30,VimL,5673
2013-06-30,Erlang,5264
2013-06-30,Lua,4928
2013-06-30,Clojure,4767
2013-06-30,Emacs Lisp,4763
2013-06-30,OCaml,4407
2013-06-30,Groovy,4002
2013-06-30,Matlab,2878
2013-06-30,TypeScript,2747
2013-06-30,Puppet,2361
2013-06-30,Common Lisp,2330
2013-06-30,TeX,2017
2013-06-30,Dart,1888
2013-06-30,R,1617
2013-06-30,XSLT,1512
2013-06-30,Rust,1363
2013-06-30,F#,1164
2013-06-30,Jupyter Notebook,1164
2013-06-30,Makefile,1100
2013-06-30,Perl6,1095
2013-06-30,Julia,1093
2013-06-30,ActionScript,979
2013-06-30,FORTRAN,929
2013-06-30,Haxe,929
2013-06-30,Scheme,928
2013-06-30,nesC,911
2013-06-30,Smalltalk,882
2013-06-30,Vala,868
2013-06-30,Factor,853
2013-06-30,Web Ontology Language,850
2013-06-30,Assembly,841
2013-06-30,BitBake,806
2013-06-30,PowerShell,754
2013-06-30,PLpgSQL,664
2013-06-30,Pascal,662
2013-06-30,Arduino,617
2013-06-30,DM,601
2013-06-30,D,570
2013-06-30,Swift,558
2013-06-30,Ada,555
2013-06-30,BlitzBasic,485
2013-06-30,ColdFusion,474
2013-06-30,Tcl,459
2013-06-30,Eagle,422
2013-06-30,Kotlin,383
2013-06-30,CMake,336
2013-06-30,Visual Basic,326
2013-06-30,Standard ML,325
2013-06-30,Yacc,303
2013-06-30,Elixir,297
2013-06-30,Objective-J,272
2013-06-30,Racket,271
2013-06-30,Processing,259
2013-06-30,LiveScript,258
2013-06-30,Logos,245
2013-06-30,AutoHotkey,228
2013-06-30,Verilog,223
2013-06-30,Prolog,218
2013-06-30,Cucumber,218
2013-06-30,Mercury,214
2013-06-30,Logtalk,205
2013-06-30,OpenEdge ABL,199
2013-06-30,Pony,184
2013-06-30,Game Maker Language,171
2013-06-30,Groff,159
2013-06-30,SourcePawn,159
2013-06-30,IDL,156
2013-06-30,UnrealScript,151
2013-06-30,Xtend,150
2013-06-30,Objective-C++,146
2013-06-30,Agda,142
2013-06-30,VHDL,124
2013-06-30,OpenSCAD,124
2013-06-30,Smarty,119
2013-06-30,Coq,111
2013-06-30,ApacheConf,111
2013-09-30,JavaScript,321142
2013-09-30,Python,259494
2013-09-30,Java,201277
2013-09-30,PHP,186918
2013-09-30,Ruby,176843
2013-09-30,C++,121443
2013-09-30,C,121178
2013-09-30,HTML,115973
2013-09-30,CSS,62986
2013-09-30,C#,44486
2013-09-30,Shell,38905
2013-09-30,Objective-C,33583
2013-09-30,Go,25870
2013-09-30,Haskell,19006
2013-09-30,CoffeeScript,18269
2013-09-30,Perl,18132
2013-09-30,Scala,16777
2013-09-30,VimL,9116
2013-09-30,Lua,6848
2013-09-30,Clojure,6640
2013-09-30,Emacs Lisp,6149
2013-09-30,Erlang,5697
2013-09-30,OCaml,5207
2013-09-30,Groovy,5118
2013-09-30,TypeScript,4231
2013-09-30,Puppet,3981
2013-09-30,R,3758
2013-09-30,XSLT,3450
2013-09-30,TeX,3266
2013-09-30,Matlab,3082
2013-09-30,Rust,2718
2013-09-30,Dart,2626
2013-09-30,Common Lisp,2259
2013-09-30,Vala,2214
2013-09-30,ActionScript,2042
2013-09-30,Makefile,1965
2013-09-30,Arduino,1946
2013-09-30,Haxe,1777
2013-09-30,Scheme,1536
2013-09-30,Perl6,1534
2013-09-30,Julia,1530
2013-09-30,PowerShell,1458
2013-09-30,F#,1451
2013-09-30,Jupyter Notebook,1311
2013-09-30,Elixir,1275
2013-09-30,D,1221
2013-09-30,Web Ontology Language,1124
2013-09-30,Pascal,1096
2013-09-30,FORTRAN,1008
2013-09-30,Visual Basic,988
2013-09-30,Assembly,940
2013-09-30,BitBake,924
2013-09-30,Smalltalk,802
2013-09-30,Racket,724
2013-09-30,PLpgSQL,691
2013-09-30,Eagle,689
2013-09-30,DM,681
2013-09-30,ColdFusion,647
2013-09-30,Kotlin,594
2013-09-30,AutoHotkey,575
2013-09-30,Processing,541
2013-09-30,Groff,498
2013-09-30,Game Maker Language,449
2013-09-30,nesC,422
2013-09-30,BlitzBasic,421
2013-09-30,Objective-C++,414
2013-09-30,Prolog,412
2013-09-30,Tcl,402
2013-09-30,GCC Machine Description,400
2013-09-30,Max,378
2013-09-30,GAP,362
2013-09-30,Swift,340
2013-09-30,SourcePawn,338
2013-09-30,Eiffel,338
2013-09-30,Logos,335
2013-09-30,Verilog,331
2013-09-30,Cucumber,302
2013-09-30,Factor,296
2013-09-30,LiveScript,294
2013-09-30,ApacheConf,284
2013-09-30,Apex,280
2013-09-30,CMake,279
2013-09-30,API Blueprint,269
2013-09-30,ASP,252
2013-09-30,UnrealScript,229
2013-09-30,Batchfile,222
2013-09-30,Ada,211
2013-09-30,SQF,208
2013-09-30,Xtend,206
2013-09-30,OpenSCAD,195
2013-09-30,PLSQL,193
2013-09-30,Standard ML,190
2013-09-30,Forth,177
2013-09-30,XML,174
2013-09-30,Red,172
2013-09-30,Objective-J,172
2013-09-30,Mathematica,168
2013-09-30,Logtalk,164
2013-09-30,Mako,159
2013-09-30,Brightscript,156
2013-09-30,VHDL,148
2013-09-30,Delphi,147
2013-09-30,QML,140
2013-09-30,PostScript,139
2013-09-30,NSIS,133
2013-09-30,Rebol,117
2013-09-30,Dylan,107
2013-09-30,OpenEdge ABL,106
2013-09-30,KiCad,106
