,date,name,value
0,2012-06-30,JavaScript,105379
1,2012-06-30,Python,99936
2,2012-06-30,Ruby,92073
3,2012-06-30,Java,70815
4,2012-06-30,PHP,69346
5,2012-06-30,C,58582
6,2012-06-30,C++,54256
7,2012-06-30,C#,13012
8,2012-06-30,Shell,12882
9,2012-06-30,Objective-C,11148
10,2012-06-30,Perl,9761
11,2012-06-30,Haskell,9335
12,2012-06-30,HTML,9088
13,2012-06-30,Scala,7531
14,2012-06-30,CoffeeScript,7516
15,2012-06-30,CSS,5905
16,2012-06-30,Go,3835
17,2012-06-30,Erlang,3445
18,2012-06-30,Clojure,3227
19,2012-06-30,VimL,3102
20,2012-06-30,Emacs Lisp,2909
21,2012-06-30,XSLT,2555
22,2012-06-30,OCaml,2224
23,2012-06-30,Lua,1881
24,2012-06-30,Groovy,1395
25,2012-06-30,Common Lisp,1284
26,2012-06-30,Perl6,1240
27,2012-06-30,Smalltalk,1109
28,2012-06-30,TypeScript,1008
29,2012-06-30,ActionScript,925
30,2012-06-30,R,855
31,2012-06-30,Vala,822
32,2012-06-30,D,821
33,2012-06-30,Matlab,818
34,2012-06-30,Assembly,771
35,2012-06-30,TeX,737
36,2012-06-30,Puppet,723
37,2012-06-30,ColdFusion,522
38,2012-06-30,Makefile,412
39,2012-06-30,Haxe,411
40,2012-06-30,PLpgSQL,400
41,2012-06-30,DCPU-16 ASM,399
42,2012-06-30,FORTRAN,391
43,2012-06-30,nesC,371
44,2012-06-30,LiveScript,327
45,2012-06-30,Tcl,313
46,2012-06-30,Factor,310
47,2012-06-30,Scheme,300
48,2012-06-30,DM,300
49,2012-06-30,Objective-J,297
50,2012-06-30,Pascal,265
51,2012-06-30,Rust,264
52,2012-06-30,AGS Script,257
53,2012-06-30,Mirah,242
54,2012-06-30,Arduino,240
55,2012-06-30,Dart,232
56,2012-06-30,Web Ontology Language,223
57,2012-06-30,Jupyter Notebook,219
58,2012-06-30,OpenEdge ABL,213
59,2012-06-30,AutoHotkey,209
60,2012-06-30,Verilog,208
61,2012-06-30,Racket,204
62,2012-06-30,F#,203
63,2012-06-30,Max,195
64,2012-06-30,KiCad,194
65,2012-06-30,CMake,178
66,2012-06-30,PowerShell,168
67,2012-06-30,Groff,168
68,2012-06-30,Eagle,137
69,2012-06-30,Agda,134
70,2012-06-30,Fancy,130
71,2012-06-30,Visual Basic,129
72,2012-06-30,Ada,120
73,2012-06-30,Cucumber,119
74,2012-06-30,BitBake,109
75,2012-06-30,VHDL,100
76,2012-09-30,JavaScript,121271
77,2012-09-30,Python,119659
78,2012-09-30,Ruby,97509
79,2012-09-30,PHP,81849
80,2012-09-30,Java,78747
81,2012-09-30,C,68478
82,2012-09-30,C++,60314
83,2012-09-30,Shell,16321
84,2012-09-30,C#,16138
85,2012-09-30,Objective-C,12020
86,2012-09-30,HTML,11583
87,2012-09-30,Haskell,10047
88,2012-09-30,Perl,8535
89,2012-09-30,CSS,7648
90,2012-09-30,Scala,7402
91,2012-09-30,Go,6963
92,2012-09-30,CoffeeScript,6689
93,2012-09-30,Erlang,3791
94,2012-09-30,VimL,3702
95,2012-09-30,Clojure,3470
96,2012-09-30,Emacs Lisp,3424
97,2012-09-30,Lua,3013
98,2012-09-30,OCaml,2718
99,2012-09-30,Groovy,2177
100,2012-09-30,XSLT,1978
101,2012-09-30,Factor,1812
102,2012-09-30,Perl6,1389
103,2012-09-30,Common Lisp,1227
104,2012-09-30,Puppet,1134
105,2012-09-30,BitBake,1103
106,2012-09-30,D,1055
107,2012-09-30,Makefile,950
108,2012-09-30,TypeScript,932
109,2012-09-30,ActionScript,844
110,2012-09-30,Vala,798
111,2012-09-30,Matlab,790
112,2012-09-30,TeX,782
113,2012-09-30,Scheme,760
114,2012-09-30,nesC,744
115,2012-09-30,Smalltalk,734
116,2012-09-30,R,701
117,2012-09-30,PLpgSQL,602
118,2012-09-30,FORTRAN,545
119,2012-09-30,Objective-C++,539
120,2012-09-30,Haxe,523
121,2012-09-30,Pony,508
122,2012-09-30,Assembly,497
123,2012-09-30,F#,455
124,2012-09-30,Objective-J,429
125,2012-09-30,Arduino,424
126,2012-09-30,ColdFusion,385
127,2012-09-30,Jupyter Notebook,304
128,2012-09-30,Racket,266
129,2012-09-30,BlitzBasic,260
130,2012-09-30,Web Ontology Language,257
131,2012-09-30,Rust,246
132,2012-09-30,Verilog,245
133,2012-09-30,KiCad,227
134,2012-09-30,DCPU-16 ASM,219
135,2012-09-30,AGS Script,210
136,2012-09-30,PowerShell,205
137,2012-09-30,Tcl,196
138,2012-09-30,Pascal,194
139,2012-09-30,Monkey,183
140,2012-09-30,Agda,167
141,2012-09-30,Dart,167
142,2012-09-30,CMake,163
143,2012-09-30,VHDL,161
144,2012-09-30,AutoHotkey,160
145,2012-09-30,Prolog,159
146,2012-09-30,Eagle,135
147,2012-09-30,Standard ML,133
148,2012-09-30,LiveScript,120
149,2012-09-30,SuperCollider,119
150,2012-09-30,Visual Basic,119
151,2012-09-30,Modelica,116
152,2012-09-30,Kotlin,113
153,2012-09-30,Groff,113
154,2012-09-30,Cucumber,109
155,2012-12-30,JavaScript,145410
156,2012-12-30,Python,136276
157,2012-12-30,Ruby,110016
158,2012-12-30,Java,98881
159,2012-12-30,PHP,97966
160,2012-12-30,C,74521
161,2012-12-30,C++,66748
162,2012-12-30,Shell,19426
163,2012-12-30,C#,16804
164,2012-12-30,Objective-C,15135
165,2012-12-30,HTML,13883
166,2012-12-30,Haskell,13102
167,2012-12-30,CSS,11490
168,2012-12-30,Perl,9039
169,2012-12-30,Go,8931
170,2012-12-30,Scala,8573
171,2012-12-30,CoffeeScript,8115
172,2012-12-30,Erlang,4715
173,2012-12-30,VimL,3671
174,2012-12-30,Lua,3644
175,2012-12-30,Clojure,3334
176,2012-12-30,Emacs Lisp,3145
177,2012-12-30,OCaml,2998
178,2012-12-30,Groovy,2271
179,2012-12-30,Common Lisp,1969
180,2012-12-30,Puppet,1406
181,2012-12-30,TypeScript,1377
182,2012-12-30,Matlab,1376
183,2012-12-30,Makefile,1215
184,2012-12-30,D,1179
185,2012-12-30,BitBake,993
186,2012-12-30,R,965
187,2012-12-30,TeX,942
188,2012-12-30,XSLT,893
189,2012-12-30,ActionScript,830
190,2012-12-30,nesC,819
191,2012-12-30,F#,767
192,2012-12-30,PLpgSQL,679
193,2012-12-30,Perl6,666
194,2012-12-30,Scheme,646
195,2012-12-30,Jupyter Notebook,627
196,2012-12-30,Haxe,589
197,2012-12-30,Assembly,570
198,2012-12-30,Dart,564
199,2012-12-30,Vala,545
200,2012-12-30,FORTRAN,531
201,2012-12-30,Standard ML,497
202,2012-12-30,Rust,475
203,2012-12-30,Web Ontology Language,472
204,2012-12-30,Julia,431
205,2012-12-30,Smalltalk,422
206,2012-12-30,Factor,402
207,2012-12-30,Racket,318
208,2012-12-30,Logtalk,306
209,2012-12-30,PowerShell,290
210,2012-12-30,Agda,286
211,2012-12-30,ColdFusion,285
212,2012-12-30,Delphi,267
213,2012-12-30,Pascal,265
214,2012-12-30,Pony,263
215,2012-12-30,Objective-J,258
216,2012-12-30,Arduino,241
217,2012-12-30,Objective-C++,224
218,2012-12-30,BlitzBasic,218
219,2012-12-30,Tcl,198
220,2012-12-30,CMake,193
221,2012-12-30,Game Maker Language,172
222,2012-12-30,Eagle,169
223,2012-12-30,Elixir,144
224,2012-12-30,Prolog,140
225,2012-12-30,Verilog,136
226,2012-12-30,Monkey,132
227,2012-12-30,Apex,132
228,2012-12-30,XML,131
229,2012-12-30,Groff,125
230,2012-12-30,OpenEdge ABL,111
231,2012-12-30,AutoHotkey,109
232,2012-12-30,QML,107
233,2012-12-30,Kotlin,104
234,2012-12-30,LiveScript,104
235,2012-12-30,Visual Basic,103
236,2013-03-30,JavaScript,202177
237,2013-03-30,Python,178522
238,2013-03-30,Ruby,148465
239,2013-03-30,Java,140397
240,2013-03-30,PHP,132038
241,2013-03-30,C,95838
242,2013-03-30,C++,85684
243,2013-03-30,C#,25371
244,2013-03-30,Shell,24759
245,2013-03-30,Objective-C,19954
246,2013-03-30,CSS,19431
247,2013-03-30,HTML,18403
248,2013-03-30,Haskell,15919
249,2013-03-30,Scala,11795
250,2013-03-30,Perl,11748
251,2013-03-30,Go,11573
252,2013-03-30,CoffeeScript,11480
253,2013-03-30,VimL,5155
254,2013-03-30,Erlang,4785
255,2013-03-30,Lua,4713
256,2013-03-30,Emacs Lisp,4537
257,2013-03-30,OCaml,3947
258,2013-03-30,Clojure,3541
259,2013-03-30,Groovy,3481
260,2013-03-30,Dart,2267
261,2013-03-30,Common Lisp,2147
262,2013-03-30,XSLT,2103
263,2013-03-30,Matlab,1892
264,2013-03-30,TeX,1672
265,2013-03-30,TypeScript,1579
266,2013-03-30,R,1519
267,2013-03-30,ActionScript,1443
268,2013-03-30,Puppet,1214
269,2013-03-30,Makefile,1186
270,2013-03-30,Rust,1064
271,2013-03-30,Factor,991
272,2013-03-30,D,962
273,2013-03-30,Jupyter Notebook,933
274,2013-03-30,Vala,908
275,2013-03-30,Objective-J,891
276,2013-03-30,Haxe,861
277,2013-03-30,Assembly,856
278,2013-03-30,F#,838
279,2013-03-30,Perl6,837
280,2013-03-30,Julia,810
281,2013-03-30,Scheme,796
282,2013-03-30,Web Ontology Language,791
283,2013-03-30,PLpgSQL,757
284,2013-03-30,nesC,734
285,2013-03-30,BitBake,711
286,2013-03-30,PowerShell,647
287,2013-03-30,Smalltalk,589
288,2013-03-30,Pascal,570
289,2013-03-30,FORTRAN,569
290,2013-03-30,Standard ML,551
291,2013-03-30,Groff,424
292,2013-03-30,Arduino,404
293,2013-03-30,Visual Basic,401
294,2013-03-30,CMake,396
295,2013-03-30,Tcl,375
296,2013-03-30,Kotlin,353
297,2013-03-30,BlitzBasic,331
298,2013-03-30,Logtalk,319
299,2013-03-30,Objective-C++,275
300,2013-03-30,Game Maker Language,275
301,2013-03-30,ColdFusion,254
302,2013-03-30,LiveScript,250
303,2013-03-30,QML,236
304,2013-03-30,Swift,231
305,2013-03-30,Eagle,227
306,2013-03-30,VHDL,216
307,2013-03-30,Ada,212
308,2013-03-30,AGS Script,202
309,2013-03-30,Mercury,201
310,2013-03-30,Racket,193
311,2013-03-30,Prolog,191
312,2013-03-30,SQF,188
313,2013-03-30,Logos,188
314,2013-03-30,SourcePawn,177
315,2013-03-30,AutoIt,163
316,2013-03-30,Pony,161
317,2013-03-30,AppleScript,159
318,2013-03-30,Monkey,155
319,2013-03-30,Verilog,154
320,2013-03-30,Cucumber,146
321,2013-03-30,KiCad,141
322,2013-03-30,Delphi,138
323,2013-03-30,AutoHotkey,128
324,2013-03-30,Processing,125
325,2013-03-30,Agda,122
326,2013-03-30,UnrealScript,117
327,2013-03-30,ApacheConf,116
328,2013-03-30,PostScript,114
329,2013-03-30,Ceylon,113
330,2013-03-30,DM,113
331,2013-03-30,Coq,113
332,2013-03-30,Cuda,105
333,2013-06-30,JavaScript,228966
334,2013-06-30,Python,199214
335,2013-06-30,Ruby,153835
336,2013-06-30,Java,153242
337,2013-06-30,PHP,143891
338,2013-06-30,C,106863
339,2013-06-30,C++,94914
340,2013-06-30,C#,29846
341,2013-06-30,CSS,27859
342,2013-06-30,Shell,26832
343,2013-06-30,HTML,25565
344,2013-06-30,Objective-C,23100
345,2013-06-30,Go,17374
346,2013-06-30,Haskell,15008
347,2013-06-30,Perl,14787
348,2013-06-30,CoffeeScript,13755
349,2013-06-30,Scala,13227
350,2013-06-30,VimL,5673
351,2013-06-30,Erlang,5264
352,2013-06-30,Lua,4928
353,2013-06-30,Clojure,4767
354,2013-06-30,Emacs Lisp,4763
355,2013-06-30,OCaml,4407
356,2013-06-30,Groovy,4002
357,2013-06-30,Matlab,2878
358,2013-06-30,TypeScript,2747
359,2013-06-30,Puppet,2361
360,2013-06-30,Common Lisp,2330
361,2013-06-30,TeX,2017
362,2013-06-30,Dart,1888
363,2013-06-30,R,1617
364,2013-06-30,XSLT,1512
365,2013-06-30,Rust,1363
366,2013-06-30,F#,1164
367,2013-06-30,Jupyter Notebook,1164
368,2013-06-30,Makefile,1100
369,2013-06-30,Perl6,1095
370,2013-06-30,Julia,1093
371,2013-06-30,ActionScript,979
372,2013-06-30,FORTRAN,929
373,2013-06-30,Haxe,929
374,2013-06-30,Scheme,928
375,2013-06-30,nesC,911
376,2013-06-30,Smalltalk,882
377,2013-06-30,Vala,868
378,2013-06-30,Factor,853
379,2013-06-30,Web Ontology Language,850
380,2013-06-30,Assembly,841
381,2013-06-30,BitBake,806
382,2013-06-30,PowerShell,754
383,2013-06-30,PLpgSQL,664
384,2013-06-30,Pascal,662
385,2013-06-30,Arduino,617
386,2013-06-30,DM,601
387,2013-06-30,D,570
388,2013-06-30,Swift,558
389,2013-06-30,Ada,555
390,2013-06-30,BlitzBasic,485
391,2013-06-30,ColdFusion,474
392,2013-06-30,Tcl,459
393,2013-06-30,Eagle,422
394,2013-06-30,Kotlin,383
395,2013-06-30,CMake,336
396,2013-06-30,Visual Basic,326
397,2013-06-30,Standard ML,325
398,2013-06-30,Yacc,303
399,2013-06-30,Elixir,297
400,2013-06-30,Objective-J,272
401,2013-06-30,Racket,271
402,2013-06-30,Processing,259
403,2013-06-30,LiveScript,258
404,2013-06-30,Logos,245
405,2013-06-30,AutoHotkey,228
406,2013-06-30,Verilog,223
407,2013-06-30,Prolog,218
408,2013-06-30,Cucumber,218
409,2013-06-30,Mercury,214
410,2013-06-30,Logtalk,205
411,2013-06-30,OpenEdge ABL,199
412,2013-06-30,Pony,184
413,2013-06-30,Game Maker Language,171
414,2013-06-30,Groff,159
415,2013-06-30,SourcePawn,159
416,2013-06-30,IDL,156
417,2013-06-30,UnrealScript,151
418,2013-06-30,Xtend,150
419,2013-06-30,Objective-C++,146
420,2013-06-30,Agda,142
421,2013-06-30,VHDL,124
422,2013-06-30,OpenSCAD,124
423,2013-06-30,Smarty,119
424,2013-06-30,Coq,111
425,2013-06-30,ApacheConf,111
426,2013-09-30,JavaScript,321142
427,2013-09-30,Python,259494
428,2013-09-30,Java,201277
429,2013-09-30,PHP,186918
430,2013-09-30,Ruby,176843
431,2013-09-30,C++,121443
432,2013-09-30,C,121178
433,2013-09-30,HTML,115973
434,2013-09-30,CSS,62986
435,2013-09-30,C#,44486
436,2013-09-30,Shell,38905
437,2013-09-30,Objective-C,33583
438,2013-09-30,Go,25870
439,2013-09-30,Haskell,19006
440,2013-09-30,CoffeeScript,18269
441,2013-09-30,Perl,18132
442,2013-09-30,Scala,16777
443,2013-09-30,VimL,9116
444,2013-09-30,Lua,6848
445,2013-09-30,Clojure,6640
446,2013-09-30,Emacs Lisp,6149
447,2013-09-30,Erlang,5697
448,2013-09-30,OCaml,5207
449,2013-09-30,Groovy,5118
450,2013-09-30,TypeScript,4231
451,2013-09-30,Puppet,3981
452,2013-09-30,R,3758
453,2013-09-30,XSLT,3450
454,2013-09-30,TeX,3266
455,2013-09-30,Matlab,3082
456,2013-09-30,Rust,2718
457,2013-09-30,Dart,2626
458,2013-09-30,Common Lisp,2259
459,2013-09-30,Vala,2214
460,2013-09-30,ActionScript,2042
461,2013-09-30,Makefile,1965
462,2013-09-30,Arduino,1946
463,2013-09-30,Haxe,1777
464,2013-09-30,Scheme,1536
465,2013-09-30,Perl6,1534
466,2013-09-30,Julia,1530
467,2013-09-30,PowerShell,1458
468,2013-09-30,F#,1451
469,2013-09-30,Jupyter Notebook,1311
470,2013-09-30,Elixir,1275
